mnemonic,family,profile,eew_bits,width,mop,nf,lumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vlsseg2e64.v,Segment strided,Zve32x/Zve64x base,64,0b111,0b10,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg2e8.v,Segment strided,Zve32x/Zve64x base,8,0b000,0b10,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg3e16.v,Segment strided,Zve32x/Zve64x base,16,0b101,0b10,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg3e32.v,Segment strided,Zve32x/Zve64x base,32,0b110,0b10,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg3e64.v,Segment strided,Zve32x/Zve64x base,64,0b111,0b10,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg3e8.v,Segment strided,Zve32x/Zve64x base,8,0b000,0b10,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg4e16.v,Segment strided,Zve32x/Zve64x base,16,0b101,0b10,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg4e32.v,Segment strided,Zve32x/Zve64x base,32,0b110,0b10,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg4e64.v,Segment strided,Zve32x/Zve64x base,64,0b111,0b10,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg4e8.v,Segment strided,Zve32x/Zve64x base,8,0b000,0b10,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg5e16.v,Segment strided,Zve32x/Zve64x base,16,0b101,0b10,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg5e32.v,Segment strided,Zve32x/Zve64x base,32,0b110,0b10,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg5e64.v,Segment strided,Zve32x/Zve64x base,64,0b111,0b10,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg5e8.v,Segment strided,Zve32x/Zve64x base,8,0b000,0b10,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg6e16.v,Segment strided,Zve32x/Zve64x base,16,0b101,0b10,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg6e32.v,Segment strided,Zve32x/Zve64x base,32,0b110,0b10,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg6e64.v,Segment strided,Zve32x/Zve64x base,64,0b111,0b10,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg6e8.v,Segment strided,Zve32x/Zve64x base,8,0b000,0b10,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg7e16.v,Segment strided,Zve32x/Zve64x base,16,0b101,0b10,0b110,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlsseg7e32.v,Segment strided,Zve32x/Zve64x base,32,0b110,0b10,0b110,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
